step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
108,1.608,17,0,0.0,8.753,3,193740.944,dqn
109,1.798,13,3,0.0,8.789,3,207252.894,dqn
110,1.957,13,1,0.0,8.967,3,220388.446,dqn
111,2.12,13,1,0.0,9.058,3,193058.465,dqn
112,2.237,15,1,0.0,8.968,3,211905.19,dqn
113,2.456,13,3,0.0,8.91,4,183604.371,dqn
114,2.571,15,1,0.0,8.578,4,164783.715,dqn
115,2.778,16,1,0.0,8.581,4,182201.483,dqn
116,2.989,18,3,0.0,8.274,5,167998.482,dqn
117,3.205,16,1,0.0,8.224,5,165936.548,dqn
118,3.437,17,1,0.0,8.116,5,165331.249,dqn
119,3.655,19,0,0.0,8.153,5,174629.713,dqn
120,3.714,24,0,0.0,7.679,5,153888.175,dqn
121,3.945,21,0,0.0,7.536,5,160049.729,dqn
122,4.198,23,0,0.0,7.542,5,169015.876,dqn
123,4.355,25,0,0.0,7.388,5,180195.718,dqn
124,4.516,26,0,0.0,7.191,5,159654.99,dqn
125,4.789,26,0,0.0,7.321,5,192012.695,dqn
126,4.979,30,0,0.0,7.121,5,177648.777,dqn
127,5.268,28,0,0.0,7.15,5,182159.283,dqn
128,5.455,31,0,0.0,6.985,5,182753.922,dqn
129,5.758,30,0,0.0,7.115,5,206243.214,dqn
130,6.071,31,0,0.0,6.979,5,181516.937,dqn
131,6.384,31,0,0.0,7.063,0,199625.857,dqn
132,4.01,30,0,0.0,6.715,0,181217.106,dqn
133,2.495,21,0,0.0,6.921,0,205288.589,dqn
134,1.476,16,0,0.0,7.213,0,236056.543,dqn
135,1.01,13,0,0.0,7.542,0,223314.308,dqn
136,0.895,13,0,0.0,7.775,0,243673.464,dqn
137,0.981,10,0,0.0,8.132,0,262768.698,dqn
138,1.056,12,0,0.0,8.581,0,328088.654,dqn
139,1.16,10,1,0.0,9.105,0,323173.304,dqn
140,1.231,12,0,0.0,9.312,0,295459.408,dqn
141,1.324,10,0,0.0,9.711,0,287929.247,dqn
142,1.426,11,0,0.0,9.853,0,243132.743,dqn
143,1.528,11,0,0.0,10.043,0,247714.231,dqn
144,1.586,15,1,0.0,9.774,0,235558.596,dqn
145,1.685,11,0,0.0,9.872,0,220194.593,dqn
146,1.793,12,0,0.0,9.95,1,221834.993,dqn
147,1.884,14,1,0.0,9.866,1,229388.084,dqn
148,1.956,14,0,0.0,9.695,1,218640.644,dqn
149,2.098,12,2,0.0,9.621,2,241821.018,dqn
150,2.167,14,0,0.0,9.465,2,238847.732,dqn
151,2.289,14,0,0.0,9.523,2,230276.964,dqn
152,2.409,18,1,0.0,9.33,2,209039.706,dqn
153,2.593,16,2,0.0,9.396,2,234200.875,dqn
154,2.752,18,0,0.0,9.4,2,221315.05,dqn
155,2.973,19,2,0.0,9.322,2,191760.426,dqn
156,3.07,24,1,0.0,8.954,2,242872.384,dqn
157,3.304,20,2,0.0,8.815,2,210507.504,dqn
158,3.532,22,1,0.0,8.754,2,214727.167,dqn
159,3.782,24,1,0.0,8.77,2,209742.92,dqn
160,3.973,27,1,0.0,8.663,2,223035.121,dqn
161,4.275,25,2,0.0,8.568,2,183701.049,dqn
162,4.473,28,1,0.0,8.408,2,216793.704,dqn
163,4.806,27,2,0.0,8.404,2,200277.571,dqn
164,5.065,30,2,0.0,8.159,3,203516.796,dqn
165,3.776,24,1,0.0,8.269,3,240105.862,dqn
166,2.629,22,2,0.0,8.242,3,211048.655,dqn
167,1.779,19,1,0.0,8.417,3,228721.614,dqn
168,1.37,22,0,0.0,8.241,3,229985.439,dqn
169,1.093,15,0,0.0,8.465,3,239802.964,dqn
170,1.056,12,0,0.0,8.792,3,269164.728,dqn
171,1.109,13,0,0.0,8.841,3,266009.435,dqn
172,1.196,14,0,0.0,9.005,3,288225.68,dqn
173,1.352,12,4,0.0,9.163,3,271342.897,dqn
174,1.459,15,1,0.0,9.237,3,289296.123,dqn
175,1.632,14,3,0.0,9.255,3,217979.04,dqn
176,1.748,16,1,0.0,9.196,3,232541.813,dqn
177,1.914,14,2,0.0,9.269,3,234040.976,dqn
178,2.087,14,2,0.0,9.395,3,243336.885,dqn
179,2.255,15,1,0.0,9.414,4,204013.634,dqn
180,2.356,19,2,0.0,8.915,4,202603.929,dqn
181,2.559,16,2,0.0,8.88,4,200907.073,dqn
182,2.847,18,4,0.0,8.738,5,186015.088,dqn
183,3.126,18,3,0.0,8.555,5,199470.907,dqn
184,3.409,22,4,0.0,8.147,5,176077.754,dqn
185,3.756,21,3,0.0,8.109,5,187196.0,dqn
186,3.945,23,1,0.0,7.734,5,150823.549,dqn
187,4.198,23,0,0.0,7.778,5,177615.216,dqn
188,4.355,25,0,0.0,7.563,5,160094.614,dqn
189,4.624,25,0,0.0,7.635,5,193673.171,dqn
190,4.892,25,0,0.0,7.677,5,188601.411,dqn
191,5.183,27,0,0.0,7.461,5,141494.717,dqn
192,5.258,32,0,0.0,7.073,5,170968.529,dqn
193,5.557,29,0,0.0,7.004,5,170167.319,dqn
194,5.876,31,0,0.0,7.033,5,178957.087,dqn
195,6.081,34,0,0.0,6.873,5,185275.677,dqn
196,6.287,35,0,0.0,6.82,5,190931.403,dqn
197,6.624,34,0,0.0,6.908,0,197109.249,dqn
198,4.447,30,0,0.0,6.967,0,226254.813,dqn
199,2.796,23,0,0.0,7.214,0,220276.679,dqn
200,1.743,19,0,0.0,7.463,0,245255.931,dqn
201,1.324,14,0,0.0,7.848,0,250597.263,dqn
202,1.238,10,0,0.0,8.331,0,285144.73,dqn
203,1.333,10,0,0.0,8.791,0,281575.389,dqn
204,1.376,14,0,0.0,8.785,0,292793.29,dqn
205,1.477,11,0,0.0,9.233,0,297060.035,dqn
206,1.578,11,0,0.0,9.557,0,264540.297,dqn
207,1.694,11,1,0.0,9.847,0,283111.594,dqn
208,1.764,13,0,0.0,9.791,0,247681.081,dqn
209,1.881,11,1,0.0,9.777,0,226399.772,dqn
210,1.955,14,0,0.0,9.707,0,245945.195,dqn
211,2.072,13,0,0.0,9.683,0,203242.354,dqn
212,2.159,16,0,0.0,9.504,1,206716.132,dqn
213,2.301,16,0,0.0,9.644,1,253067.577,dqn
214,2.518,17,3,0.0,9.578,1,194267.386,dqn
215,2.673,17,0,0.0,9.603,2,211847.109,dqn
216,2.728,21,0,0.0,9.221,2,209830.438,dqn
217,2.929,17,2,0.0,9.231,2,234027.917,dqn
218,3.108,17,1,0.0,9.173,2,209366.632,dqn
219,3.279,21,2,0.0,8.919,2,195003.632,dqn
220,3.389,21,0,0.0,8.749,2,223283.491,dqn
221,3.697,20,4,0.0,8.736,2,232701.668,dqn
222,3.864,24,1,0.0,8.53,2,209737.612,dqn
223,4.148,23,2,0.0,8.569,2,208949.926,dqn
224,4.33,26,1,0.0,8.496,2,215002.763,dqn
225,4.56,25,0,0.0,8.594,2,214295.627,dqn
226,4.833,25,1,0.0,8.577,2,208948.152,dqn
227,5.112,25,1,0.0,8.507,2,195418.785,dqn
228,5.306,30,3,0.0,7.97,2,171953.232,dqn
229,5.617,28,1,0.0,8.052,2,219642.441,dqn
230,5.943,29,1,0.0,8.034,3,210387.355,dqn
231,4.529,26,2,0.0,7.978,3,192853.855,dqn
232,3.189,25,0,0.0,7.972,3,222183.282,dqn
233,2.17,19,0,0.0,8.179,3,226899.777,dqn
234,1.463,18,0,0.0,8.172,3,237276.166,dqn
235,1.028,13,0,0.0,8.368,3,248382.586,dqn
236,0.927,13,0,0.0,8.39,3,234822.305,dqn
237,1.027,11,0,0.0,8.656,3,270968.229,dqn
238,1.136,12,0,0.0,8.949,3,278874.648,dqn
239,1.314,13,5,0.0,9.068,3,255519.553,dqn
240,1.385,17,0,0.0,9.033,3,273837.626,dqn
241,1.547,13,3,0.0,9.237,3,266256.31,dqn
242,1.679,14,0,0.0,9.412,3,234596.96,dqn
243,1.846,16,4,0.0,9.105,3,211765.435,dqn
244,1.962,16,1,0.0,8.965,3,223992.262,dqn
245,2.157,14,3,0.0,9.044,4,230606.002,dqn
246,2.327,17,3,0.0,8.832,4,204890.602,dqn
247,2.5,15,1,0.0,8.804,4,209708.58,dqn
248,2.714,18,4,0.0,8.458,5,187042.211,dqn
249,2.958,18,2,0.0,8.336,5,177418.064,dqn
250,3.223,19,2,0.0,8.362,5,199734.06,dqn
251,3.447,21,0,0.0,8.325,5,165909.828,dqn
252,3.604,26,2,0.0,7.867,5,178460.541,dqn
253,3.884,23,1,0.0,7.89,5,178327.382,dqn
254,4.181,24,1,0.0,7.944,5,197217.073,dqn
255,4.436,24,0,0.0,8.0,5,186765.563,dqn
256,4.594,26,0,0.0,7.786,5,169448.109,dqn
257,4.844,24,0,0.0,7.748,5,170165.317,dqn
258,5.0,27,0,0.0,7.508,5,187303.498,dqn
259,5.276,27,0,0.0,7.58,5,196832.356,dqn
260,5.45,30,0,0.0,7.295,5,147488.665,dqn
261,5.74,29,0,0.0,7.37,5,204355.841,dqn
262,6.05,31,0,0.0,7.305,5,167413.203,dqn
263,6.434,32,1,0.0,7.439,0,205566.393,dqn
264,4.155,30,0,0.0,7.211,0,193319.735,dqn
265,2.592,20,0,0.0,7.357,0,202214.793,dqn
266,1.534,14,0,0.0,7.574,0,236486.169,dqn
267,1.029,13,0,0.0,7.735,0,256233.795,dqn
268,0.944,11,0,0.0,8.001,0,262452.746,dqn
269,1.037,10,0,0.0,8.456,0,288802.035,dqn
270,1.11,12,0,0.0,8.711,0,299281.891,dqn
271,1.213,10,1,0.0,9.045,0,292667.392,dqn
272,1.291,13,0,0.0,9.242,0,289770.419,dqn
273,1.4,12,0,0.0,9.535,0,273851.399,dqn
274,1.527,14,0,0.0,9.79,0,280883.294,dqn
275,1.685,14,2,0.0,9.876,0,243557.495,dqn
276,1.766,18,1,0.0,9.499,0,210359.859,dqn
277,1.963,16,3,0.0,9.516,0,208945.689,dqn
278,2.111,16,0,0.0,9.59,1,222861.482,dqn
279,2.302,16,2,0.0,9.528,1,219155.158,dqn
280,2.407,18,0,0.0,9.218,1,193563.469,dqn
281,2.623,18,2,0.0,9.074,2,200844.374,dqn
282,2.75,21,0,0.0,8.843,2,215436.807,dqn
283,2.972,21,1,0.0,8.785,2,199682.098,dqn
284,3.119,24,0,0.0,8.617,2,212003.671,dqn
285,3.33,23,0,0.0,8.635,2,210710.271,dqn
286,3.617,24,2,0.0,8.66,2,220756.569,dqn
287,3.887,25,1,0.0,8.619,2,197100.98,dqn
288,4.009,29,1,0.0,8.287,2,212287.886,dqn
289,4.278,25,1,0.0,8.27,2,198951.572,dqn
290,4.594,25,2,0.0,8.14,2,204998.435,dqn
291,4.794,28,1,0.0,8.026,2,221528.954,dqn
292,5.009,30,1,0.0,7.823,2,213111.476,dqn
293,5.327,29,1,0.0,7.856,2,219050.906,dqn
294,5.495,31,0,0.0,7.735,2,215918.91,dqn
295,5.833,31,1,0.0,7.735,2,217816.766,dqn
296,6.139,35,2,0.0,7.593,3,216463.571,dqn
297,4.713,29,0,0.0,7.676,3,192107.428,dqn
298,3.63,27,0,0.0,7.79,3,217087.04,dqn
299,2.824,23,0,0.0,7.881,3,247096.485,dqn
300,1.991,23,1,0.0,7.664,3,229917.864,dqn
301,1.568,16,0,0.0,7.963,3,275524.954,dqn
302,1.477,14,0,0.0,8.262,3,246547.893,dqn
303,1.523,13,0,0.0,8.569,3,279331.358,dqn
304,1.611,15,0,0.0,8.67,3,255738.08,dqn
305,1.782,14,3,0.0,8.807,3,265203.462,dqn
306,1.892,16,1,0.0,8.662,3,223380.659,dqn
307,2.027,15,0,0.0,8.845,3,254912.747,dqn
308,2.171,18,2,0.0,8.718,3,235222.014,dqn
309,2.376,18,2,0.0,8.828,3,237446.327,dqn
310,2.589,18,2,0.0,8.775,3,211106.361,dqn
311,2.864,18,4,0.0,8.828,4,239255.158,dqn
312,3.01,22,3,0.0,8.319,4,171843.023,dqn
313,3.214,18,1,0.0,8.249,4,195479.881,dqn
314,3.535,19,4,0.0,8.005,5,195558.271,dqn
315,3.747,23,2,0.0,7.738,5,193670.356,dqn
316,4.02,25,3,0.0,7.58,5,203912.075,dqn
317,4.354,24,2,0.0,7.588,5,198099.506,dqn
318,4.557,26,1,0.0,7.368,5,183122.427,dqn
319,4.814,25,0,0.0,7.449,5,192011.186,dqn
320,4.98,28,0,0.0,7.31,5,188465.074,dqn
321,5.306,27,1,0.0,7.343,5,190068.577,dqn
322,5.592,28,0,0.0,7.432,5,190386.765,dqn
323,5.888,29,0,0.0,7.481,5,186202.089,dqn
324,5.941,33,0,0.0,6.958,5,161807.866,dqn
325,6.225,29,0,0.0,6.802,5,171027.468,dqn
326,6.539,32,0,0.0,6.788,5,185802.106,dqn
327,6.873,34,0,0.0,6.735,5,184144.781,dqn
328,7.077,37,0,0.0,6.664,5,200257.042,dqn
329,7.423,36,0,0.0,6.724,0,203861.878,dqn
330,5.075,33,0,0.0,6.685,0,198446.074,dqn
331,3.292,25,0,0.0,6.913,0,209699.807,dqn
332,2.093,22,0,0.0,7.196,0,264559.574,dqn
333,1.509,14,0,0.0,7.51,0,225276.308,dqn
334,1.352,11,0,0.0,7.991,0,281837.122,dqn
335,1.435,10,0,0.0,8.458,0,294216.31,dqn
336,1.473,14,0,0.0,8.555,0,296038.802,dqn
337,1.577,10,1,0.0,8.917,0,298553.844,dqn
338,1.682,10,1,0.0,9.3,0,286848.293,dqn
339,1.75,13,0,0.0,9.474,0,312919.939,dqn
340,1.816,13,0,0.0,9.464,0,268713.174,dqn
341,1.912,11,0,0.0,9.621,0,260065.673,dqn
342,1.991,15,0,0.0,9.428,0,224413.793,dqn
343,2.103,13,0,0.0,9.545,0,252151.981,dqn
344,2.224,16,2,0.0,9.281,1,220127.292,dqn
345,2.353,15,0,0.0,9.427,1,251944.767,dqn
346,2.491,16,0,0.0,9.484,1,228679.983,dqn
347,2.629,16,0,0.0,9.498,2,234776.454,dqn
348,2.683,21,0,0.0,9.147,2,231440.261,dqn
349,2.825,17,0,0.0,9.199,2,237627.79,dqn
350,3.025,18,2,0.0,9.092,2,214780.448,dqn
351,3.25,20,2,0.0,9.085,2,240430.231,dqn
352,3.393,22,1,0.0,8.961,2,238632.909,dqn
353,3.603,21,1,0.0,9.013,2,229697.382,dqn
354,3.793,24,2,0.0,8.847,2,235339.289,dqn
355,3.983,22,0,0.0,8.728,2,199008.562,dqn
356,4.181,25,2,0.0,8.467,2,208512.399,dqn
357,4.426,24,1,0.0,8.5,2,235049.06,dqn
358,4.693,26,1,0.0,8.526,2,232001.663,dqn
359,5.009,26,2,0.0,8.485,2,212081.03,dqn
360,5.122,32,1,0.0,8.124,2,209940.515,dqn
361,5.469,29,2,0.0,8.038,2,210792.263,dqn
362,5.735,30,0,0.0,7.991,3,223019.265,dqn
363,4.319,30,2,0.0,7.854,3,220716.54,dqn
364,3.0,27,0,0.0,7.838,3,223453.371,dqn
365,2.133,22,2,0.0,7.985,3,261171.232,dqn
366,1.579,21,1,0.0,8.089,3,257747.432,dqn
367,1.114,15,0,0.0,8.406,3,289091.088,dqn
368,0.817,14,1,0.0,8.442,3,249392.257,dqn
369,0.809,11,0,0.0,8.719,3,263241.185,dqn
370,0.913,12,0,0.0,9.153,3,313670.432,dqn
371,1.054,12,4,0.0,9.181,3,243437.135,dqn
372,1.122,16,0,0.0,9.127,3,266253.989,dqn
373,1.248,12,2,0.0,9.237,3,237725.927,dqn
374,1.366,12,1,0.0,9.23,3,227017.771,dqn
375,1.528,12,4,0.0,9.234,3,226338.121,dqn
376,1.633,15,1,0.0,9.099,3,225000.033,dqn
377,1.804,15,2,0.0,9.2,4,250549.704,dqn
378,1.99,18,4,0.0,8.874,4,200213.117,dqn
379,2.163,16,1,0.0,8.818,4,202500.829,dqn
380,2.386,18,5,0.0,8.359,5,187074.444,dqn
381,2.606,17,2,0.0,8.22,5,191869.506,dqn
382,2.808,20,0,0.0,8.258,5,187899.195,dqn
383,3.082,21,2,0.0,8.145,5,179766.569,dqn
384,3.232,25,2,0.0,7.686,5,187314.734,dqn
385,3.5,23,1,0.0,7.571,5,169888.219,dqn
386,3.755,25,0,0.0,7.592,5,173832.325,dqn
387,3.98,28,1,0.0,7.4,5,169884.211,dqn
388,4.253,29,2,0.0,7.223,5,172984.158,dqn
389,4.571,27,1,0.0,7.278,5,189027.083,dqn
390,4.76,30,0,0.0,7.13,5,198045.471,dqn
391,5.04,28,0,0.0,7.024,5,175955.768,dqn
392,5.225,31,0,0.0,6.824,5,187717.745,dqn
393,5.52,30,0,0.0,6.895,5,190132.984,dqn
394,5.843,33,0,0.0,7.068,5,213076.565,dqn
395,6.238,34,1,0.0,7.031,0,174659.028,dqn
396,4.152,32,0,0.0,6.997,0,226376.303,dqn
397,2.705,23,0,0.0,7.215,0,215871.397,dqn
398,1.705,17,0,0.0,7.576,0,237927.968,dqn
399,1.333,12,0,0.0,7.869,0,227916.198,dqn
400,1.299,12,0,0.0,7.957,0,240791.82,dqn
401,1.393,10,0,0.0,8.365,0,287639.783,dqn
402,1.459,12,0,0.0,8.73,0,312732.411,dqn
403,1.55,10,0,0.0,9.061,0,289373.014,dqn
404,1.622,13,0,0.0,9.202,0,288131.987,dqn
405,1.736,11,1,0.0,9.449,0,273464.236,dqn
