step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
108,10.978,98,0,0.0,5.7,5,396907.644,fixed
109,11.309,100,0,0.0,5.47,5,403177.128,fixed
110,11.672,109,0,0.0,5.299,5,402632.111,fixed
111,12.047,113,0,0.0,5.309,5,438715.096,fixed
112,12.556,119,0,0.0,5.328,5,412260.295,fixed
113,13.133,122,1,0.0,5.293,5,427505.884,fixed
114,13.426,126,0,0.0,5.073,5,406678.36,fixed
115,14.0,122,1,0.0,4.97,5,417394.725,fixed
116,14.481,130,1,0.0,4.807,5,415082.712,fixed
117,14.78,136,2,0.0,4.466,5,383513.243,fixed
118,15.4,134,1,0.0,4.346,5,413340.951,fixed
119,15.839,139,0,0.0,4.224,5,396520.026,fixed
120,16.024,147,0,0.0,4.135,5,449840.01,fixed
121,11.83,121,1,0.0,4.307,0,493586.253,fixed
122,8.854,104,0,0.0,4.552,0,497873.204,fixed
123,6.717,94,0,0.0,4.833,0,578926.51,fixed
124,5.112,80,1,0.0,5.267,0,621425.773,fixed
125,3.852,71,0,0.0,5.82,0,672295.367,fixed
126,2.891,68,0,0.0,6.203,0,725348.334,fixed
127,2.396,53,1,0.0,6.754,0,784153.086,fixed
128,2.094,43,0,0.0,7.271,0,732802.709,fixed
129,2.042,46,1,0.0,7.519,0,736667.779,fixed
130,2.164,36,0,0.0,8.013,0,724979.008,fixed
131,2.302,36,0,0.0,8.387,0,688556.134,fixed
132,2.392,44,0,0.0,8.596,0,720698.059,fixed
133,2.537,39,0,0.0,8.902,0,689389.878,fixed
134,2.67,43,0,0.0,9.184,0,732059.961,fixed
135,2.795,46,1,0.0,9.29,0,695282.504,fixed
136,2.952,43,0,0.0,9.504,0,641204.957,fixed
137,3.114,44,0,0.0,9.732,0,665822.467,fixed
138,3.258,48,0,0.0,9.742,0,569732.552,fixed
139,3.413,48,1,0.0,9.728,0,568513.197,fixed
140,3.558,49,0,0.0,9.629,0,525399.824,fixed
141,3.7,49,0,0.0,9.584,0,573477.408,fixed
142,3.817,52,0,0.0,9.537,0,596413.787,fixed
143,3.944,51,0,0.0,9.498,0,578241.096,fixed
144,4.097,49,0,0.0,9.561,0,616546.931,fixed
145,4.227,54,1,0.0,9.465,0,594985.402,fixed
146,4.405,52,0,0.0,9.501,0,575600.64,fixed
147,4.553,54,0,0.0,9.493,0,615732.745,fixed
148,4.724,56,0,0.0,9.475,0,593261.449,fixed
149,4.895,56,0,0.0,9.475,0,597214.888,fixed
150,5.051,58,0,0.0,9.443,0,591211.13,fixed
151,5.197,62,0,0.0,9.399,0,603731.032,fixed
152,5.34,62,0,0.0,9.38,0,609753.466,fixed
153,5.498,61,0,0.0,9.405,0,629258.011,fixed
154,5.676,61,0,0.0,9.426,0,594473.624,fixed
155,5.778,65,0,0.0,9.305,0,602181.808,fixed
156,5.933,62,0,0.0,9.367,0,688647.829,fixed
157,6.105,61,0,0.0,9.396,0,629946.07,fixed
158,6.279,62,0,0.0,9.395,0,635287.25,fixed
159,6.392,65,0,0.0,9.345,0,675527.479,fixed
160,6.589,63,0,0.0,9.391,0,643856.553,fixed
161,6.748,66,0,0.0,9.409,0,675172.003,fixed
162,7.083,67,8,0.0,9.325,0,644277.838,fixed
163,7.312,65,1,0.0,9.336,0,598289.107,fixed
164,7.522,70,4,0.0,9.232,0,640415.907,fixed
165,7.708,68,1,0.0,9.217,0,607418.907,fixed
166,7.971,67,2,0.0,9.273,0,636843.078,fixed
167,8.159,71,3,0.0,9.149,0,600120.825,fixed
168,8.32,71,2,0.0,9.087,0,645787.443,fixed
169,8.532,67,0,0.0,9.169,0,647773.522,fixed
170,8.719,70,1,0.0,9.124,0,607367.619,fixed
171,8.887,75,2,0.0,9.04,0,616746.697,fixed
172,9.11,71,0,0.0,9.101,0,611250.305,fixed
173,9.274,73,0,0.0,9.113,1,642654.091,fixed
174,9.437,73,0,0.0,8.995,1,610304.854,fixed
175,9.6,74,0,0.0,8.77,1,593946.038,fixed
176,9.711,79,0,0.0,8.481,2,616089.268,fixed
177,9.894,82,0,0.0,8.274,2,560672.301,fixed
178,10.096,89,0,0.0,8.137,2,626221.004,fixed
179,10.319,97,0,0.0,8.092,2,690920.425,fixed
180,10.49,103,0,0.0,7.917,2,626747.268,fixed
181,10.785,100,0,0.0,7.861,2,643887.275,fixed
182,11.097,106,0,0.0,7.763,2,599279.135,fixed
183,11.292,115,0,0.0,7.633,2,633876.922,fixed
184,11.554,115,0,0.0,7.511,2,621612.64,fixed
185,11.89,116,0,0.0,7.469,2,650978.014,fixed
186,12.106,127,0,0.0,7.302,2,637196.517,fixed
187,12.396,128,0,0.0,7.229,2,658236.659,fixed
188,12.766,130,0,0.0,7.134,2,599822.019,fixed
189,12.997,137,0,0.0,7.016,2,670826.815,fixed
190,13.305,138,0,0.0,6.994,2,673820.146,fixed
191,10.039,124,0,0.0,7.052,3,691760.059,fixed
192,7.157,112,5,0.0,7.038,3,746769.712,fixed
193,5.513,104,3,0.0,7.158,3,755923.182,fixed
194,4.636,98,3,0.0,7.339,3,786823.981,fixed
195,3.941,94,3,0.0,7.378,3,764514.816,fixed
196,3.436,86,2,0.0,7.468,3,784813.607,fixed
197,3.233,81,6,0.0,7.441,3,723236.615,fixed
198,3.103,81,3,0.0,7.409,3,750496.271,fixed
199,3.075,81,2,0.0,7.497,3,758279.447,fixed
200,3.213,81,5,0.0,7.537,3,712921.668,fixed
201,3.33,88,4,0.0,7.46,3,748014.834,fixed
202,3.541,85,5,0.0,7.44,3,674500.277,fixed
